rho1	rho2	rho3	rho4	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	culture_group
0.1	0.2	0.4	0.3	80.43	7.403609281920719	9.47	2.8467600575449294	6.65	0.11265136026485717	4.556849224375792	1.4485603635582327	0.6084925890777599	0.9647405702521809	0.13333333333333333	0.13513513513513514	75.0	74.0	90
0.1	0.2	0.4	0.3	99.6	7.492053322143378	9.3	3.9833800519336195	7.79	0.08744535760747917	3.5086732702097594	1.469722830640161	0.4512964102455863	0.9123900824324223	0.10101010101010101	0.10204081632653061	99.0	98.0	90
0.1	0.2	0.4	0.3	76.34	7.386906593896529	9.15	3.2108767726659018	7.27	0.11339969757405129	4.176029821230629	1.5049275881362114	0.40215873410287395	0.8805371462747145	0.12987012987012986	0.1282051282051282	77.0	78.0	90
0.1	0.2	0.4	0.3	71.62	6.556816293480898	9.2	3.2549608122624325	7.36	0.11911285961545698	3.301855481218467	1.2604451661996665	0.4498706445393666	0.8612301996899339	0.0	0.14705882352941177	0.0	68.0	90
0.1	0.2	0.4	0.3	99.74	10.010955238180685	9.2	3.734522454224256	8.52	0.08507652853086639	6.276432783956427	1.3743331936091514	0.5816488255665967	0.889439222731821	0.10101010101010101	0.10309278350515463	99.0	97.0	90
0.1	0.2	0.4	0.3	83.78	11.956451990109633	9.19	3.9561897615810744	8.64	0.11076611361591654	8.000262228528552	1.5815213230792506	0.48188418385110404	1.0140072677366476	0.1282051282051282	0.13157894736842105	78.0	76.0	90
0.1	0.2	0.4	0.3	83.59	7.048439461786274	9.1	2.966866349257595	6.98	0.09927141013630203	4.081573112528682	1.1960845940615061	0.3948464787892936	0.8183507103242582	0.11764705882352941	0.11494252873563218	85.0	87.0	90
0.1	0.2	0.5	0.2	151.74	8.273521595022597	9.3	3.775419783165174	8.58	0.05732431152862257	4.498101811857425	1.292569309171467	0.4802720051397914	0.8734958533535553	0.06944444444444445	0.0	144.0	0.0	100
0.1	0.2	0.5	0.2	156.6	8.09150529938676	9.26	3.1821383804169767	7.39	0.0565040525327888	4.909366918969786	1.6186295226332599	0.32472076261677274	1.0146988992691717	0.06493506493506493	0.06578947368421052	154.0	152.0	100
0.1	0.2	0.5	0.2	132.0	8.164676111805736	9.1	2.97045873817353	5.46	0.06316445877084999	5.19421737363221	1.5257406795681663	0.5948127271469756	0.9158864973071884	0.078125	0.07692307692307693	128.0	130.0	100
0.1	0.2	0.5	0.2	123.2	8.410669959756314	9.4	2.871269682221472	6.58	0.0721033689642738	5.539400277534838	1.423500511790721	0.39612708765754107	1.029344828344722	0.08849557522123894	0.08695652173913043	113.0	115.0	100
0.1	0.2	0.5	0.2	146.88	8.279922503401002	8.99	3.2246672366911513	7.28	0.056672967944301746	5.055255266709846	1.6733601102873445	0.5449604473585237	0.9240021256965488	0.06756756756756757	0.06896551724137931	148.0	145.0	100
0.1	0.2	0.5	0.2	136.29	8.029727812224941	8.87	3.5154246512342775	8.1	0.05958540084736485	4.514303160990664	1.2143358935819974	0.25260439656726874	0.8159724445325232	0.07352941176470588	0.0	136.0	0.0	100
0.1	0.2	0.5	0.2	114.18	6.7663487391854025	9.15	2.5139704167545514	5.58	0.0763797997182756	4.25237832243085	1.2885840991173674	0.19217501585082514	0.8679660220032845	0.09900990099009901	0.09900990099009901	101.0	101.0	100
0.1	0.2	0.5	0.2	129.54	7.6797737439252955	8.74	2.6771532691661606	6.07	0.0614244439797045	5.002620474759137	1.2125909282799907	0.6117406364817097	0.8970253158091568	0.07633587786259542	0.07518796992481203	131.0	133.0	100
0.1	0.2	0.5	0.2	156.18	7.87308124038224	9.4	2.7853673917431685	6.58	0.05679765338822941	5.087713848639072	1.2887303918700486	0.4829204085808408	0.947616912557659	0.06802721088435375	0.0	147.0	0.0	100
0.1	0.2	0.5	0.2	152.8	8.114754800642327	9.7	3.3949757770209805	7.56	0.061726444688040914	4.719779023621349	1.501733607523861	0.3845666700953675	0.9340085286465186	0.07352941176470588	0.07246376811594203	136.0	138.0	100
0.1	0.2	0.6	0.1	180.36	7.288447331615661	9.1	2.997200158688242	8.19	0.046084843801299666	4.291247172927418	1.2266191379905125	0.37924880051538135	0.8173061100365842	0.056179775280898875	0.05555555555555555	178.0	180.0	110
0.1	0.2	0.6	0.1	175.68	8.003532680562916	9.1	2.679163680797533	6.37	0.04733465348607492	5.324368999765387	1.3895933454826332	0.530274643330571	0.8865136660851669	0.05917159763313609	0.05847953216374269	169.0	171.0	110
0.1	0.2	0.6	0.1	193.66	7.364496414344696	9.0	2.3408038542389935	5.4	0.04196455342820321	5.0236925601057045	1.3516514584399026	0.20037639359746007	0.8164784971515634	0.05319148936170213	0.05291005291005291	188.0	189.0	110
0.1	0.2	0.6	0.1	169.15	8.122972555280112	9.2	2.851865970365173	7.36	0.05022295612188641	5.271106584914939	1.5195771997424274	0.49598352586523603	0.8815207143773034	0.0625	0.06172839506172839	160.0	162.0	110
0.1	0.2	0.6	0.1	171.18	7.7461120617488	9.2	2.5122677534440307	5.89	0.04975192285288971	5.2338443083047705	1.422200882438566	0.37816272234385495	0.8555970461368101	0.06289308176100629	0.062111801242236024	159.0	161.0	110
0.1	0.2	0.6	0.1	178.08	7.419248472764012	9.4	2.8763986528451135	6.58	0.049927190881557525	4.542849819918896	1.5613941069429762	0.6565735219941219	1.0073878794272944	0.056818181818181816	0.0	176.0	0.0	110
0.1	0.2	0.6	0.1	195.01	7.57296125502235	9.3	2.3608802989755984	5.58	0.044747570043302515	5.212080956046751	1.2931514756712903	0.3372708302885455	0.8561450548313041	0.05813953488372093	0.05747126436781609	172.0	174.0	110
0.1	0.2	0.6	0.1	154.8	7.273958461473898	8.8	2.3743446792458407	5.28	0.05027664946277999	4.899613782228053	1.2528467431458339	0.37391367380208895	0.8424623036553966	0.06329113924050633	0.06289308176100629	158.0	159.0	110
0.1	0.2	0.6	0.1	196.13	8.326564511128256	9.1	2.9666785767482047	6.37	0.04234187822251811	5.359885934380051	1.3073523680764634	0.3973250595273765	0.8594197007148813	0.05181347150259067	0.05128205128205128	193.0	195.0	110
0.1	0.2	0.6	0.1	152.53	7.49610851695135	8.8	2.18322909877289	5.54	0.05086896877057725	5.312879418178462	1.2699156906348383	0.23516481151058857	0.8607046852310245	0.06369426751592357	0.06289308176100629	157.0	159.0	110
0.1	0.3	0.1	0.5	2.16	1.2239242424242425	1.28	0.827875901875902	1.07	0.5315054112554113	0.3960483405483406	0.6670778432649055	0.5967394882647802	0.6327684498269002	0.4	0.3	10.0	10.0	120
